City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
170,Denpasar,ID,78.8,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
172,Vila Velha,BR,84.2,clear sky,-20.33,-40.29,Hotel Vitória Palace
173,Selma,US,84.99,clear sky,36.57,-119.61,Holiday Inn Selma-Swancourt
174,Puerto Plata,DO,89.6,few clouds,19.79,-70.69,Be Live Collection Marien
184,San Patricio,MX,80.6,overcast clouds,19.22,-104.7,Hotel Cabo Blanco
185,Buala,SB,79.74,light rain,-8.14,159.59,Maringe Lagoon Lodge
189,Bolivar,US,82.99,light rain,37.61,-93.41,Comfort Inn Bolivar
190,Rutland,US,70.0,clear sky,43.62,-73.02,Comfort Inn Trolley Square
191,Victoria,HK,82.0,light rain,22.29,114.16,Mini Hotel Central
192,Shakawe,BW,75.22,clear sky,-18.37,21.85,Ditlhapi Guest House
194,Catacaos,PE,80.74,clear sky,-5.27,-80.68,Hostal Ñariwalac
196,Luanda,AO,73.4,scattered clouds,-8.84,13.23,EPIC SANA Luanda
198,Hilo,US,73.4,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
200,Kiunga,PG,72.73,light rain,-6.12,141.29,Airport Lodge Kiunga
201,Oranjestad,AW,89.6,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
202,Saint Anthony,US,75.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
203,Huangzhou,CN,78.8,broken clouds,30.45,114.8,Manjianghong Business Hotel
205,San Cristobal,VE,89.6,few clouds,7.77,-72.22,Pirineos
210,Mbandaka,CD,75.31,overcast clouds,0.05,18.26,Guest House Epervier
212,Balkanabat,TM,83.88,scattered clouds,39.51,54.37,Nebitchi Hotel
213,Dingle,PH,77.52,overcast clouds,11.0,122.67,Camp Pasica
215,Guarapari,BR,81.0,clear sky,-20.67,-40.5,Hotel Porto do Sol
218,Kalemie,CD,74.79,clear sky,-5.95,29.19,Mahobilali
221,Hasaki,JP,77.0,light intensity shower rain,35.73,140.83,Inubosaki Kanko Hotel
226,Singapore,SG,78.8,scattered clouds,1.29,103.85,The Fullerton Hotel Singapore
229,Mapiripan,CO,86.95,moderate rain,2.89,-72.13,Monserrate
233,Torbay,CA,77.0,broken clouds,47.67,-52.73,Gallows Cove
237,Avila,ES,84.99,clear sky,40.58,-5.0,Complejo Carrrascal 2000
239,Tilaran,CR,84.2,scattered clouds,10.47,-84.97,Hotel Wilson Tilaran
242,Lorengau,PG,82.47,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
244,Hami,CN,77.45,clear sky,42.8,93.45,Laoyutang Resort
245,Tabou,CI,76.98,overcast clouds,4.42,-7.35,hotêl doufoulougou
246,Vicksburg,US,87.8,few clouds,32.35,-90.88,La Quinta Inn & Suites by Wyndham Vicksburg
247,Benguela,AO,71.6,overcast clouds,-12.58,13.41,Hotel Praia Morena
248,Gallup,US,82.0,clear sky,35.53,-108.74,El Capitan Motel
249,Carlisle,US,79.0,clear sky,40.2,-77.19,Fairfield Inn & Suites by Marriott Carlisle
250,Faanui,PF,77.72,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
251,Neiafu,TO,71.6,few clouds,-18.65,-173.98,Mystic Sands
252,Ambilobe,MG,70.43,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
254,Namatanai,PG,79.5,scattered clouds,-3.67,152.43,Namatanai Hotel
256,Ghanzi,BW,72.16,clear sky,-21.57,21.78,Ghanzi Farmhouse
257,Kualakapuas,ID,74.23,scattered clouds,-3.01,114.39,Guest House Izonk
259,Neftcala,AZ,76.84,clear sky,39.37,49.25,Göl hotel
264,Bandarbeyla,SO,76.12,clear sky,9.49,50.81,REER XOOSHLE GROUP
265,Nsoko,SZ,73.4,clear sky,-27.03,31.95,KaMsholo Bushveld Safaris
266,Hambantota,LK,81.61,overcast clouds,6.12,81.12,Bungalow 63
267,Amahai,ID,77.85,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
270,Volary,CZ,75.99,overcast clouds,48.91,13.89,City hotel Bobík Ltd.
274,Meulaboh,ID,78.12,moderate rain,4.14,96.13,Kost Pria
276,Ciudad Bolivar,VE,90.68,clear sky,8.12,-63.55,Hotel Edi
278,Bubaque,GW,76.42,light rain,11.28,-15.83,Casa Dora
279,Kuching,MY,77.0,scattered clouds,1.55,110.33,Hilton Kuching
280,Mirebalais,HT,90.43,clear sky,18.83,-72.11,Le Jardin
281,Pokhara,NP,71.58,light rain,28.23,83.98,Hotel View Point
289,Itoman,JP,78.8,light intensity shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
291,Shasta Lake,US,84.0,clear sky,40.68,-122.37,Shasta Dam Motel
292,Saquarema,BR,80.6,few clouds,-22.92,-42.51,Hotel Fazenda Sol e Lua
293,Aksu,CN,74.84,clear sky,41.12,80.26,Pudong Holiday Hotel
294,Nichinan,JP,79.34,moderate rain,31.6,131.37,Guest House Aki
296,Fuzhou,CN,78.8,light rain,26.06,119.31,Shangri La Hotel Fuzhou
297,Hobyo,SO,77.07,scattered clouds,5.35,48.53,Osmani Hotel
304,San,ML,80.38,light rain,13.3,-4.9,Hôtel Teriya
306,Dawei,MM,78.82,overcast clouds,14.08,98.2,Hotel Dawei
307,Makakilo City,US,78.8,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
308,Tucuman,AR,73.4,few clouds,-26.82,-65.22,Dallas Hotel Tucuman
314,Do Gonbadan,IR,89.6,clear sky,30.36,50.8,مهمانسرا و تالار فرهنگیان شهرستان گچساران
316,Barillas,GT,74.25,light rain,15.8,-91.32,Hotel Arizona
319,Hillsborough,US,75.0,scattered clouds,37.57,-122.38,Hyatt Regency San Francisco Airport
320,Caravelas,BR,80.73,few clouds,-17.71,-39.25,Pousada dos Navegantes
323,Marsh Harbour,BS,85.48,scattered clouds,26.54,-77.06,Abaco Beach Resort
325,Salalah,OM,80.6,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
326,Mumford,GH,76.68,broken clouds,5.26,-0.76,Spanish Villa
328,Beira,MZ,71.6,few clouds,-19.84,34.84,Beira Terrace Hotel
330,Nacala,MZ,72.54,clear sky,-14.54,40.67,Nacala Plaza Business Design Hotel
331,Muzaffarabad,PK,72.82,clear sky,34.37,73.47,Pearl Continental Muzaffarabad
334,La Joya,MX,81.0,overcast clouds,18.67,-99.47,HOTEL BUGAMBILIAS
335,Saint Pete Beach,US,93.99,scattered clouds,27.73,-82.74,TradeWinds Island Grand Resort
336,Paredon,MX,85.69,broken clouds,16.03,-93.87,Hotel Principal Paredon
337,Sorong,ID,79.03,light rain,-0.88,131.25,The Waigo Hotel
338,Marawi,PH,75.0,overcast clouds,8.0,124.29,Salihmaruhom
339,Puerto Narino,CO,86.0,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
340,Dibulla,CO,88.34,broken clouds,11.27,-73.31,Hospedaje Dibulla Beach
344,The Valley,AI,89.6,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
351,Les Cayes,HT,87.28,broken clouds,18.2,-73.75,Villa Orphee
353,Mahon,ES,77.0,scattered clouds,39.89,4.27,ARTIEM Capri
356,Laguna,US,82.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
357,Toyooka,JP,75.27,light rain,35.53,134.83,O Hotel Toyooka
358,Kirakira,SB,79.34,light rain,-10.45,161.92,SanBiz Lodge
361,San Jose,US,80.01,smoke,37.34,-121.89,The Westin San Jose
362,Mana,GF,84.96,light rain,5.66,-53.78,LE SAMANA
363,Banda Aceh,ID,81.05,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
364,Findlay,US,80.01,clear sky,41.04,-83.65,Drury Inn & Suites Findlay
365,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
369,Sabzevar,IR,76.87,broken clouds,36.21,57.68,پارکینگ وسایل سنگین جنوب
370,Zhoucheng,CN,70.65,broken clouds,35.91,116.31,Yingbin Restaurant
373,Guantanamo,CU,89.01,scattered clouds,20.14,-75.21,Hotel Marti
374,Libourne,FR,75.2,broken clouds,44.92,-0.25,Hôtel Mercure Libourne Saint-Émilion
377,Peniche,PT,79.0,clear sky,39.36,-9.38,Hotel Star inn Peniche
378,San Lorenzo,PY,91.4,clear sky,-25.33,-57.53,Canarias Hotel
379,Tomatlan,MX,80.24,light rain,19.93,-105.25,Norma franco
380,Kuito,AO,72.32,scattered clouds,-12.38,16.93,Herdeiros de Antunes Capusso
384,Suclayin,PH,79.54,broken clouds,15.76,121.55,Costa Pacifica
386,San Vicente,AR,86.47,scattered clouds,-26.62,-54.13,Complejo Turístico Farelluk
388,Banamba,ML,82.6,moderate rain,13.55,-7.45,Kassela de Banamba
395,Aguimes,ES,82.0,clear sky,27.91,-15.45,Hotel Villa de Aguimes
398,Lata,PT,89.01,clear sky,40.16,-8.33,Casa Maquia
402,Naze,JP,80.6,light rain,28.37,129.48,奄美ポートタワーホテル
403,Roma,US,72.0,few clouds,43.21,-75.46,Wingate By Wyndham Rome
405,Coahuayana,MX,73.4,mist,18.73,-103.68,Hotel Los Arcos
409,Matamoros,MX,80.6,scattered clouds,25.53,-103.25,Recreativo Sabdy Briseidy
