City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
61,Jacarezinho,BR,-23.16,-49.97,90.32,27,36,7.31,scattered clouds,2020-09-05 17:02:00
62,Fleury-Merogis,FR,48.64,2.36,69.01,42,65,10.29,broken clouds,2020-09-05 17:02:00
63,Bathsheba,BB,13.22,-59.52,87.8,70,20,16.11,few clouds,2020-09-05 17:02:00
64,Broken Hill,AU,-31.95,141.43,53.6,50,0,10.29,clear sky,2020-09-05 17:02:01
65,Raga,SS,8.46,25.68,73.04,92,98,2.73,light rain,2020-09-05 17:02:01
66,Burnie,AU,-41.07,145.92,46.0,88,58,1.99,broken clouds,2020-09-05 17:02:01
67,Rayevskiy,RU,54.07,54.95,51.3,82,0,5.21,clear sky,2020-09-05 17:02:01
68,Narsaq,GL,60.92,-46.05,46.4,93,75,4.7,heavy intensity drizzle,2020-09-05 17:02:02
69,Aklavik,CA,68.22,-135.01,33.8,74,90,6.93,overcast clouds,2020-09-05 17:02:02
70,Niamey,NE,13.51,2.11,89.6,55,40,5.82,scattered clouds,2020-09-05 16:58:24
71,Nikolskoye,RU,59.7,30.79,64.0,72,83,6.71,broken clouds,2020-09-05 17:02:02
72,Lagoa,PT,39.05,-27.98,68.92,74,70,21.99,broken clouds,2020-09-05 17:02:03
73,Goderich,CA,43.75,-81.72,66.99,83,70,3.0,broken clouds,2020-09-05 17:00:06
74,Puerto Ayora,EC,-0.74,-90.35,73.4,60,40,11.41,scattered clouds,2020-09-05 17:02:03
75,Katsuura,JP,35.13,140.3,80.01,92,2,1.01,clear sky,2020-09-05 17:02:03
76,Guerrero Negro,MX,27.98,-114.06,81.9,57,0,5.82,clear sky,2020-09-05 17:02:04
77,Nemuro,JP,43.32,145.57,62.85,96,99,7.27,overcast clouds,2020-09-05 17:02:04
78,Tasiilaq,GL,65.61,-37.64,41.0,75,75,6.93,broken clouds,2020-09-05 17:02:04
79,Port Elizabeth,ZA,-33.92,25.57,57.2,93,20,6.93,light rain,2020-09-05 17:02:04
80,Utete,TZ,-7.99,38.76,73.69,67,6,8.81,clear sky,2020-09-05 17:02:05
81,Beihai,CN,21.48,109.1,84.61,74,0,6.8,clear sky,2020-09-05 17:01:30
82,San Juan Del Sur,NI,11.25,-85.87,78.8,83,75,10.11,thunderstorm,2020-09-05 17:02:05
83,Cabo San Lucas,MX,22.89,-109.91,91.4,59,5,4.7,clear sky,2020-09-05 17:00:25
84,Progreso,MX,21.28,-89.67,89.01,66,75,10.29,broken clouds,2020-09-05 17:02:05
85,Saldanha,ZA,-33.01,17.94,55.4,87,98,8.05,overcast clouds,2020-09-05 16:57:56
86,Muravlenko,RU,63.79,74.52,48.38,67,100,24.0,overcast clouds,2020-09-05 17:02:06
87,Vaini,TO,-21.2,-175.2,69.8,64,75,13.87,broken clouds,2020-09-05 17:02:06
88,Bambous Virieux,MU,-20.34,57.76,69.8,83,75,12.75,shower rain,2020-09-05 17:02:06
89,Gushikawa,JP,26.35,127.87,78.8,94,1,24.16,clear sky,2020-09-05 17:02:06
90,Cayenne,GF,4.93,-52.33,78.8,88,12,10.29,light rain,2020-09-05 17:02:06
91,Anadyr,RU,64.75,177.48,39.2,86,97,4.47,overcast clouds,2020-09-05 17:02:07
92,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,58,40,6.93,scattered clouds,2020-09-05 17:02:07
93,Yar-Sale,RU,66.83,70.83,41.52,76,38,8.41,scattered clouds,2020-09-05 17:02:07
94,Bredasdorp,ZA,-34.53,20.04,55.4,87,100,4.7,light rain,2020-09-05 17:02:08
95,San Carlos De Bariloche,AR,-41.15,-71.31,50.0,31,20,3.36,few clouds,2020-09-05 17:00:27
96,Byron Bay,AU,-28.65,153.62,64.0,93,40,8.05,scattered clouds,2020-09-05 17:02:08
97,Iberia,US,29.95,-91.75,91.99,70,1,4.7,clear sky,2020-09-05 16:58:11
98,Galveston,US,29.37,-94.97,90.0,74,1,11.41,clear sky,2020-09-05 17:02:08
99,Marevo,RU,57.31,32.08,59.18,85,87,5.68,overcast clouds,2020-09-05 17:02:08
100,Baruun-Urt,MN,46.68,113.28,59.11,60,92,10.29,overcast clouds,2020-09-05 17:02:09
101,La Palma,US,33.85,-118.05,88.0,54,1,4.59,clear sky,2020-09-05 17:02:09
102,Mar Del Plata,AR,-38.0,-57.56,50.0,71,75,12.75,broken clouds,2020-09-05 16:58:18
103,Saint-Georges,GD,12.06,-61.75,84.2,83,75,11.41,broken clouds,2020-09-05 17:01:26
104,Qaanaaq,GL,77.48,-69.36,29.16,82,1,4.72,clear sky,2020-09-05 17:02:09
105,Aswan,EG,24.09,32.91,101.21,18,53,13.06,broken clouds,2020-09-05 17:02:10
106,Kaifeng,CN,34.79,114.35,71.6,78,69,2.24,broken clouds,2020-09-05 17:02:10
107,Barrow,US,71.29,-156.79,37.4,93,90,4.7,overcast clouds,2020-09-05 16:59:30
108,Tuktoyaktuk,CA,69.45,-133.04,35.6,93,90,9.17,light rain,2020-09-05 17:02:10
109,Arraial Do Cabo,BR,-22.97,-42.03,80.6,74,23,9.17,few clouds,2020-09-05 17:02:10
110,Port Hedland,AU,-20.32,118.57,68.0,94,73,6.93,broken clouds,2020-09-05 17:02:11
111,Auki,SB,-8.77,160.7,77.14,87,85,4.07,overcast clouds,2020-09-05 17:02:11
112,Kidal,ML,18.44,1.41,98.49,25,89,10.83,overcast clouds,2020-09-05 17:02:11
113,Ahipara,NZ,-35.17,173.17,54.28,77,99,9.48,overcast clouds,2020-09-05 17:02:11
114,Bengkulu,ID,-3.8,102.27,75.87,90,98,3.85,moderate rain,2020-09-05 17:02:12
115,Namibe,AO,-15.2,12.15,66.24,69,0,4.29,clear sky,2020-09-05 17:02:12
116,Amga,RU,60.9,131.96,49.5,95,99,2.84,overcast clouds,2020-09-05 17:02:12
117,Saint George,US,37.1,-113.58,90.0,14,1,3.36,clear sky,2020-09-05 17:00:07
118,Saint-Philippe,RE,-21.36,55.77,66.2,88,75,14.99,broken clouds,2020-09-05 17:02:12
119,Lebu,CL,-37.62,-73.65,53.89,66,64,5.61,broken clouds,2020-09-05 17:02:13
120,Sao Filipe,CV,14.9,-24.5,80.76,75,100,4.07,moderate rain,2020-09-05 17:02:13
121,Wakkanai,JP,45.41,141.67,67.73,95,25,4.29,scattered clouds,2020-09-05 17:02:13
122,Hermanus,ZA,-34.42,19.23,54.0,94,100,9.64,light rain,2020-09-05 17:02:14
123,Great Yarmouth,GB,52.61,1.73,66.0,58,78,12.48,light rain,2020-09-05 17:02:07
124,Saskylakh,RU,71.92,114.08,38.34,88,79,9.78,broken clouds,2020-09-05 17:02:14
125,Tiksi,RU,71.69,128.87,43.79,96,100,10.4,light rain,2020-09-05 17:02:15
126,Sorsk,RU,54.0,90.25,36.16,87,0,4.32,clear sky,2020-09-05 17:02:15
127,Sibolga,ID,1.74,98.78,76.41,74,100,3.56,overcast clouds,2020-09-05 16:59:22
128,Nalut,LY,30.33,10.85,97.0,14,77,4.05,broken clouds,2020-09-05 17:02:09
129,Hamilton,US,39.18,-84.53,81.0,42,0,1.01,clear sky,2020-09-05 17:02:16
130,Chiang Klang,TH,19.29,100.86,76.98,83,67,1.41,broken clouds,2020-09-05 17:02:16
131,Arlit,NE,18.74,7.39,103.35,13,0,6.26,clear sky,2020-09-05 17:02:17
132,Shingu,JP,33.73,135.98,76.01,85,6,6.71,light rain,2020-09-05 17:02:17
133,Aripuana,BR,-9.17,-60.63,105.51,16,44,4.34,scattered clouds,2020-09-05 17:02:17
134,Muros,ES,42.78,-9.06,73.0,68,1,10.0,clear sky,2020-09-05 17:02:17
135,Lasa,IT,46.62,10.7,72.0,55,5,9.17,clear sky,2020-09-05 17:02:17
136,Ancud,CL,-41.87,-73.82,57.99,69,84,1.01,broken clouds,2020-09-05 17:02:18
137,Seddon,AU,-37.81,144.89,48.0,87,19,2.24,few clouds,2020-09-05 17:02:18
138,Pizarro,CO,4.95,-77.37,81.3,82,60,8.57,light rain,2020-09-05 17:02:18
139,Novogornyy,RU,55.63,60.79,44.6,93,4,6.71,clear sky,2020-09-05 17:02:18
140,Chavakkad,IN,10.53,76.05,80.6,94,90,8.05,light intensity drizzle,2020-09-05 17:02:19
141,Mecca,SA,21.43,39.83,92.64,32,17,4.27,few clouds,2020-09-05 16:58:21
142,Castro,BR,-24.79,-50.01,81.57,36,62,9.8,broken clouds,2020-09-05 17:02:19
143,Chateaudun,FR,48.08,1.33,68.0,40,83,6.93,broken clouds,2020-09-05 17:02:19
144,Broome,US,42.25,-75.83,73.0,48,1,12.75,clear sky,2020-09-05 17:02:20
145,Kodiak,US,57.79,-152.41,39.2,93,90,6.93,overcast clouds,2020-09-05 17:02:20
146,Adrar,MR,20.5,-10.07,101.64,20,80,15.59,broken clouds,2020-09-05 17:02:20
147,Liberal,US,37.04,-100.92,84.2,48,1,13.87,clear sky,2020-09-05 16:57:54
148,Saint-Pierre,RE,-21.34,55.48,66.2,88,75,14.99,broken clouds,2020-09-05 17:02:21
149,Georgetown,MY,5.41,100.34,80.6,88,20,3.36,few clouds,2020-09-05 16:58:33
150,Gari,RU,59.43,62.35,43.23,82,25,3.89,scattered clouds,2020-09-05 17:02:21
151,Lensk,RU,60.73,114.93,55.35,93,3,4.43,clear sky,2020-09-05 17:02:21
152,Moerai,PF,-22.43,-151.33,74.48,89,83,12.26,broken clouds,2020-09-05 17:02:21
153,Solone,UA,48.21,34.87,78.01,29,20,15.66,few clouds,2020-09-05 17:02:22
154,Acapulco,MX,16.86,-99.89,84.2,74,75,13.87,broken clouds,2020-09-05 16:59:32
155,Cape Town,ZA,-33.93,18.42,57.0,87,40,16.11,scattered clouds,2020-09-05 16:59:47
156,Havelock,US,34.88,-76.9,88.0,58,20,13.87,few clouds,2020-09-05 16:58:00
157,Porto Novo,BJ,6.5,2.6,80.6,78,40,19.46,scattered clouds,2020-09-05 17:02:22
158,Xingyi,CN,24.19,102.82,62.15,94,98,3.13,overcast clouds,2020-09-05 17:02:22
159,Niquelandia,BR,-14.47,-48.46,100.96,13,21,2.84,few clouds,2020-09-05 17:00:17
160,Ribeira Brava,PT,32.65,-17.07,73.0,86,81,3.0,broken clouds,2020-09-05 17:02:23
161,Christchurch,NZ,-43.53,172.63,52.0,100,100,2.24,overcast clouds,2020-09-05 16:59:35
162,Huron,US,41.15,-82.55,75.99,54,0,3.0,clear sky,2020-09-05 17:02:23
163,Portland,US,45.52,-122.68,64.0,72,90,1.25,overcast clouds,2020-09-05 16:58:57
164,Texarkana,US,33.43,-94.05,78.01,83,20,5.82,few clouds,2020-09-05 17:02:24
165,Epiniana,GR,39.14,21.61,71.01,54,0,3.0,clear sky,2020-09-05 17:02:24
166,Iqaluit,CA,63.75,-68.51,53.6,32,20,6.93,few clouds,2020-09-05 17:01:08
167,Endicott,US,42.1,-76.05,73.99,46,0,4.0,clear sky,2020-09-05 17:00:04
168,Smithers,CA,54.78,-127.17,51.8,100,90,4.7,light rain,2020-09-05 17:02:25
169,Ratnagiri,IN,16.98,73.3,81.46,88,94,5.03,overcast clouds,2020-09-05 17:02:25
170,Denpasar,ID,-8.65,115.22,78.8,100,20,4.7,few clouds,2020-09-05 17:01:19
171,Molchanovo,RU,57.58,83.77,45.91,97,87,8.05,light rain,2020-09-05 17:02:25
172,Vila Velha,BR,-20.33,-40.29,84.2,58,0,12.75,clear sky,2020-09-05 17:02:25
173,Selma,US,36.57,-119.61,84.99,51,1,3.8,clear sky,2020-09-05 17:02:26
174,Puerto Plata,DO,19.79,-70.69,89.6,70,20,17.22,few clouds,2020-09-05 17:02:26
175,Ust-Kut,RU,56.79,105.77,55.9,79,100,11.36,overcast clouds,2020-09-05 17:02:26
176,Coquimbo,CL,-29.95,-71.34,60.8,59,4,13.87,clear sky,2020-09-05 17:02:26
177,Cherskiy,RU,68.75,161.3,36.73,78,0,8.32,clear sky,2020-09-05 17:02:27
178,Mendoza,AR,-32.89,-68.83,62.6,25,0,8.05,clear sky,2020-09-05 16:59:16
179,Maldonado,UY,-34.67,-54.92,57.99,67,0,13.87,clear sky,2020-09-05 17:02:27
180,Lavrentiya,RU,65.58,-171.0,41.41,82,97,2.95,overcast clouds,2020-09-05 17:02:27
181,Luderitz,NA,-26.65,15.16,61.38,65,0,26.91,clear sky,2020-09-05 17:02:28
182,Eureka,US,40.8,-124.16,64.99,87,1,7.36,clear sky,2020-09-05 17:02:14
